cell_id,calendar_month,feature,n_observations,mean,median,std,mad,q1,q3,iqr,min,max,zero_mad_flag
cell_00_01,6,era5_wind_speed_mean,3,2.8166,2.9013,0.3079,0.1719,2.6883,2.9873,0.299,2.4753,3.0733,False
cell_00_01,7,ndvi_mean,2,0.4009,0.4009,0.0337,0.0238,0.389,0.4129,0.0238,0.3771,0.4248,False
cell_00_01,7,ndbi_mean,2,-0.088,-0.088,0.024,0.017,-0.0965,-0.0795,0.017,-0.105,-0.0711,False
cell_00_01,7,ndwi_mean,2,-0.3491,-0.3491,0.0333,0.0236,-0.3609,-0.3373,0.0236,-0.3727,-0.3255,False
cell_00_01,7,viirs_avg_rad_mean,3,18.8045,18.0334,1.5119,0.1998,17.9335,19.29,1.3565,17.8336,20.5465,False
cell_00_01,7,era5_temperature_mean,3,29.542,29.5003,0.5611,0.4975,29.2516,29.8115,0.56,29.0029,30.1228,False
cell_00_01,7,era5_precipitation_total,3,213.3438,194.4656,62.4238,31.9276,178.5018,238.7467,60.2449,162.5381,283.0278,False
cell_00_01,7,era5_wind_speed_mean,3,2.1385,2.1766,0.2204,0.1607,2.0391,2.257,0.2179,1.9016,2.3373,False
cell_00_01,8,ndvi_mean,3,0.4384,0.4945,0.1421,0.0494,0.3857,0.5192,0.1335,0.2768,0.5439,False
cell_00_01,8,ndbi_mean,3,-0.1022,-0.1497,0.1009,0.021,-0.1602,-0.068,0.0921,-0.1707,0.0136,False
cell_00_01,8,ndwi_mean,3,-0.4155,-0.4581,0.1202,0.0505,-0.4834,-0.369,0.1144,-0.5087,-0.2798,False
cell_00_01,8,viirs_avg_rad_mean,3,19.0188,20.7001,4.2116,1.43,17.4631,21.4151,3.9519,14.2262,22.13,False
cell_00_01,8,era5_temperature_mean,3,28.8688,28.7394,0.732,0.5292,28.4748,29.1982,0.7234,28.2102,29.6569,False
cell_00_01,8,era5_precipitation_total,3,138.8093,92.3013,109.0241,31.5494,76.5266,177.838,101.3114,60.7519,263.3747,False
cell_00_01,8,era5_wind_speed_mean,3,2.5047,2.5242,0.183,0.153,2.4185,2.6007,0.1822,2.3128,2.6772,False
cell_00_01,9,ndvi_mean,3,0.5157,0.4222,0.2061,0.0492,0.3976,0.5871,0.1895,0.373,0.7519,False
cell_00_01,9,ndbi_mean,3,-0.1576,-0.0974,0.1217,0.0195,-0.1975,-0.0876,0.1099,-0.2977,-0.0779,False
cell_00_01,9,ndwi_mean,3,-0.4679,-0.3899,0.1729,0.0421,-0.528,-0.3688,0.1592,-0.6661,-0.3478,False
cell_00_01,9,viirs_avg_rad_mean,3,18.7373,18.649,0.2659,0.1221,18.5879,18.8426,0.2546,18.5269,19.0361,False
cell_00_01,9,era5_temperature_mean,3,28.0842,28.225,0.6164,0.3929,27.8173,28.4215,0.6042,27.4096,28.6179,False
cell_00_01,9,era5_precipitation_total,3,188.5029,162.0894,109.208,67.1652,128.5068,235.2922,106.7854,94.9242,308.4951,False
cell_00_01,9,era5_wind_speed_mean,3,2.1334,2.0832,0.1532,0.0717,2.0474,2.1943,0.1469,2.0116,2.3053,False
cell_00_01,10,ndvi_mean,3,0.4738,0.466,0.0329,0.0206,0.4557,0.488,0.0322,0.4455,0.51,False
cell_00_01,10,ndbi_mean,3,-0.1409,-0.1546,0.0463,0.0242,-0.1667,-0.122,0.0447,-0.1789,-0.0894,False
cell_00_01,10,ndwi_mean,3,-0.4585,-0.4574,0.0239,0.0222,-0.4701,-0.4463,0.0238,-0.4829,-0.4352,False
cell_00_01,10,viirs_avg_rad_mean,3,26.0426,27.8203,4.1848,1.2246,24.5414,28.4327,3.8913,21.2624,29.045,False
cell_00_01,10,era5_temperature_mean,3,25.0895,25.396,1.2732,0.7854,24.5435,25.7888,1.2453,23.691,26.1815,False
cell_00_01,10,era5_precipitation_total,3,64.4856,7.8991,104.7816,7.7359,4.0312,96.6468,92.6156,0.1632,185.3945,False
cell_00_01,10,era5_wind_speed_mean,3,1.9958,1.9714,0.0515,0.0104,1.9662,2.0132,0.047,1.961,2.055,False
cell_00_01,11,ndvi_mean,3,0.3873,0.4105,0.0906,0.0534,0.3489,0.4372,0.0883,0.2874,0.4639,False
cell_00_01,11,ndbi_mean,3,-0.1151,-0.1356,0.0432,0.0086,-0.1399,-0.1005,0.0394,-0.1442,-0.0654,False
cell_00_01,11,ndwi_mean,3,-0.3897,-0.4001,0.0751,0.059,-0.4296,-0.3551,0.0745,-0.4591,-0.31,False
cell_00_01,11,viirs_avg_rad_mean,3,27.4585,27.1715,0.842,0.374,26.9845,27.789,0.8045,26.7975,28.4066,False
cell_00_01,11,era5_temperature_mean,3,20.7615,20.9045,0.7336,0.5086,20.4357,21.1588,0.7231,19.9669,21.4131,False
cell_00_01,11,era5_precipitation_total,3,3.4038,3.1001,3.4724,3.0068,1.5967,5.059,3.4624,0.0933,7.018,False
cell_00_01,11,era5_wind_speed_mean,3,1.8766,1.7913,0.2087,0.0672,1.7577,1.9529,0.1952,1.7241,2.1145,False
cell_00_01,12,ndvi_mean,3,0.4351,0.4619,0.0664,0.022,0.4107,0.4729,0.0622,0.3595,0.4839,False
cell_00_01,12,ndbi_mean,3,-0.0959,-0.1076,0.0372,0.0183,-0.1168,-0.0809,0.0358,-0.1259,-0.0543,False
cell_00_01,12,ndwi_mean,3,-0.4478,-0.4582,0.0447,0.0281,-0.4723,-0.4285,0.0438,-0.4863,-0.3988,False
cell_00_01,12,viirs_avg_rad_mean,3,22.7439,22.7601,2.0811,2.0568,21.7074,23.7885,2.0811,20.6547,24.8169,False
cell_00_01,12,era5_temperature_mean,3,15.1767,15.06,0.515,0.3299,14.895,15.4,0.505,14.7301,15.7401,False
cell_00_01,12,era5_precipitation_total,3,13.5164,1.6184,21.9398,1.5225,0.8571,20.2267,19.3696,0.0958,38.8351,False
cell_00_01,12,era5_wind_speed_mean,3,2.2587,2.3227,0.2933,0.192,2.1307,2.4187,0.288,1.9387,2.5147,False
cell_00_02,1,ndvi_mean,3,0.4803,0.5167,0.07,0.0079,0.4581,0.5206,0.0625,0.3996,0.5246,False
cell_00_02,1,ndbi_mean,3,-0.0297,-0.0344,0.0441,0.0369,-0.0528,-0.0089,0.0439,-0.0713,0.0165,False
cell_00_02,1,ndwi_mean,3,-0.4844,-0.4953,0.0477,0.0305,-0.5105,-0.4637,0.0468,-0.5257,-0.4322,False
cell_00_02,1,viirs_avg_rad_mean,3,20.726,21.4993,2.8507,1.6109,19.5338,22.3048,2.771,17.5684,23.1103,False
cell_00_02,1,era5_temperature_mean,3,12.7796,12.6738,0.8304,0.6667,12.3405,13.1658,0.8253,12.0071,13.6578,False
cell_00_02,1,era5_precipitation_total,3,16.8589,12.9574,7.5697,0.9214,12.4967,19.2704,6.7737,12.0359,25.5834,False
cell_00_02,1,era5_wind_speed_mean,3,2.0941,2.2186,0.3147,0.1089,1.9774,2.2731,0.2957,1.7362,2.3275,False
cell_00_02,2,ndvi_mean,3,0.4855,0.456,0.0522,0.0011,0.4554,0.5009,0.0455,0.4548,0.5458,False
cell_00_02,2,ndbi_mean,3,-0.0223,0.0003,0.0522,0.0145,-0.0408,0.0075,0.0484,-0.082,0.0148,False
cell_00_02,2,ndwi_mean,3,-0.4783,-0.4593,0.0357,0.0031,-0.4894,-0.4577,0.0316,-0.5194,-0.4561,False
cell_00_02,2,viirs_avg_rad_mean,3,24.5318,24.4867,4.8036,4.7357,22.1188,26.9223,4.8034,19.751,29.3578,False
cell_00_02,2,era5_temperature_mean,3,17.6183,17.8962,1.3169,0.8779,17.0404,18.3351,1.2947,16.1846,18.7741,False
cell_00_02,2,era5_precipitation_total,3,13.6288,15.2474,11.6497,9.1371,8.2509,19.8159,11.565,1.2545,24.3845,False
cell_00_02,2,era5_wind_speed_mean,3,2.5688,2.6264,0.1164,0.0188,2.5306,2.6358,0.1052,2.4349,2.6452,False
cell_00_02,3,ndvi_mean,3,0.5872,0.5629,0.044,0.0022,0.5618,0.6004,0.0386,0.5607,0.638,False
cell_00_02,3,ndbi_mean,3,-0.0756,-0.07,0.0389,0.0302,-0.0935,-0.0549,0.0386,-0.1169,-0.0398,False
cell_00_02,3,ndwi_mean,3,-0.5699,-0.5622,0.033,0.0208,-0.5841,-0.5518,0.0324,-0.6061,-0.5414,False
cell_00_02,3,viirs_avg_rad_mean,3,26.2388,25.2582,2.8984,1.3003,24.6081,27.3793,2.7712,23.9579,29.5003,False
cell_00_02,3,era5_temperature_mean,3,22.1621,22.2202,0.5605,0.4712,21.8975,22.4558,0.5583,21.5749,22.6914,False
cell_00_02,3,era5_precipitation_total,3,40.5749,39.4606,28.2214,26.5335,26.1939,54.3988,28.2049,12.9272,69.337,False
cell_00_02,3,era5_wind_speed_mean,3,2.4643,2.5074,0.3964,0.3299,2.2777,2.6724,0.3946,2.0481,2.8373,False
cell_00_02,4,ndvi_mean,3,0.5491,0.5636,0.0663,0.0432,0.5202,0.5852,0.0651,0.4767,0.6069,False
cell_00_02,4,ndbi_mean,3,-0.0871,-0.1074,0.0614,0.0283,-0.1216,-0.0628,0.0588,-0.1357,-0.0181,False
cell_00_02,4,ndwi_mean,3,-0.5396,-0.5669,0.0518,0.0049,-0.5694,-0.5234,0.046,-0.5719,-0.4799,False
cell_00_02,4,viirs_avg_rad_mean,3,26.7886,27.7232,1.96,0.3832,26.1297,27.9148,1.7851,24.5362,28.1063,False
cell_00_02,4,era5_temperature_mean,3,28.7798,28.747,2.0298,1.9803,27.7568,29.7864,2.0296,26.7666,30.8258,False
cell_00_02,4,era5_precipitation_total,3,8.1421,2.4749,10.7878,1.1059,1.922,11.5287,9.6067,1.369,20.5825,False
cell_00_02,4,era5_wind_speed_mean,3,2.5436,2.476,0.232,0.123,2.4145,2.6389,0.2245,2.3529,2.8019,False
cell_00_02,5,ndvi_mean,3,0.4748,0.483,0.1053,0.0927,0.4243,0.5293,0.1051,0.3656,0.5757,False
cell_00_02,5,ndbi_mean,3,-0.0398,-0.0521,0.0901,0.0711,-0.0876,0.0019,0.0895,-0.1232,0.0558,False
cell_00_02,5,ndwi_mean,3,-0.4995,-0.5235,0.0742,0.0352,-0.5411,-0.4699,0.0713,-0.5587,-0.4162,False
cell_00_02,5,viirs_avg_rad_mean,3,23.1101,23.6399,2.4444,1.6063,22.042,24.443,2.401,20.4442,25.2462,False
cell_00_02,5,era5_temperature_mean,3,31.8202,32.3862,2.2892,1.3871,30.8436,33.0797,2.2361,29.3011,33.7733,False
cell_00_02,5,era5_precipitation_total,3,34.7703,29.1701,36.8139,28.0927,15.1237,51.6168,36.4931,1.0774,74.0635,False
