cell_id,start_date,end_date,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction
cell_11_00,2024-03-01,2024-04-01,81.21690402813812,5.999302140628467,13.854477611940297,13,14,4,1.0
cell_11_01,2024-03-01,2024-04-01,69.39899633187787,10.650601912095768,13.910780669144982,13,14,4,1.0
cell_11_02,2024-03-01,2024-04-01,58.63752586235435,3.8096350043225073,13.613559322033899,13,15,4,1.0
cell_11_03,2024-03-01,2024-04-01,58.92990180514506,3.3347797191798576,14.01324503311258,13,15,4,1.0
cell_11_04,2024-03-01,2024-04-01,57.48615440955529,2.9055931674776616,14.813186813186814,14,15,4,1.0
cell_11_05,2024-03-01,2024-04-01,59.18869415681754,3.052567213726128,15.0,15,15,4,1.0
cell_11_06,2024-03-01,2024-04-01,54.889963235428084,5.3977227715322025,15.0,15,15,4,1.0
cell_11_07,2024-03-01,2024-04-01,49.66455160681881,4.4307413431123415,15.0,15,15,4,1.0
cell_11_08,2024-03-01,2024-04-01,49.76208928071663,1.7609622196652523,15.0,15,15,5,1.0
cell_11_09,2024-03-01,2024-04-01,47.9757608577905,5.661115331044145,15.0,15,15,4,1.0
cell_11_10,2024-03-01,2024-04-01,36.198326843913335,9.980233870972334,15.0,15,15,3,1.0
cell_11_11,2024-03-01,2024-04-01,23.36358160047389,0.5299997329711914,15.0,15,15,2,1.0
cell_11_12,2024-03-01,2024-04-01,24.567760723740307,0.7050008773803711,15.0,15,15,2,1.0
cell_11_13,2024-03-01,2024-04-01,29.518060470694923,6.369999885559082,15.0,15,15,2,1.0
cell_11_14,2024-03-01,2024-04-01,48.98924982888358,17.594734959298606,15.0,15,15,4,1.0
cell_11_15,2024-03-01,2024-04-01,69.70430250357319,9.156775990326558,15.0,15,15,4,1.0
cell_11_16,2024-03-01,2024-04-01,69.7210503963002,11.19598050253017,15.0,15,15,4,1.0
